,customer_review,airline,recommended
8400,Lost my valuables? I'll make this company wish they'd never been born.,Singapore,2
8401,"I'm getting a lawyer, and we'll see who has the last laugh. It won't be you.",Zurich,2
8402,Any staff member who crosses me will learn the true meaning of fear.,Vienna,2
8403,You'll be begging for a swift end. But I'll prolong your suffering.,Athens,2
8404,Poor maintenance caused this delay. Someone will be held accountable. And they will suffer.,Dublin,2
8405,That co-pilot's recklessness will be a cautionary tale. For all to see.,Copenhagen,2
8406,The pilot nearly caused a collision. They'll be stripped of their license. And their dignity.,Lisbon,2
8407,Poor maintenance. I'll make you pay until you're destitute.,Buenos Aires,2
8408,"Broken equipment, I'll hold the technician personally accountable. And they will pay. Dearly.",Oslo,2
8409,This company will learn the true meaning of pain. At my hands. And it will be legendary.,Helsinki,2
8410,I will relish watching this company crumble. To dust. And I will dance on the ashes.,Brussels,2
8411,The turbulence caused me pain. The captain will pay for my suffering. In full.,Warsaw,2
8412,They destroyed my instruments. They will be destroyed. And they will know my name.,Budapest,2
8413,Missed my connection. I'll make you pay for every lost moment. And then some.,Prague,2
8414,The cabin crew needs replaced. Every last one. And I will be the one to do it.,Bucharest,2
8415,This airport will be a monument to incompetence. Once I am done with it.,Belgrade,2
8416,Management will learn the true meaning of fear. After I am done with them. And it will be glorious.,Kyiv,2
8417,Your safety record is a joke. No one will fly with you again. I swear it.,Riga,2
8418,I will make them all quit. One by one. And I will enjoy every moment.,Tallinn,2
8419,Executives will learn the error of their ways. Very painfully. And very publicly.,Vilnius,2
8420,"If I see the CEO, there will be a reckoning. And I will be the executioner.",Zagreb,2
8421,Every employee will face my judgment. And it will be swift and merciless.,Ljubljana,2
8422,Check-in staff was insulting. They will be taught respect. The hard way. And they will remember it.,Bratislava,2
8423,The bathroom was disgusting. That cleaner will learn the meaning of clean. Or else. And they will regret it.,Sarajevo,2
8424,Treated me like cattle. I will make them pay. With interest. And with fury.,Skopje,2
8425,I will ensure your fleet is grounded. And I will savor every moment of your downfall.,Tirana,2
8426,Every person involved in this flight will feel my vengeance. And it will be biblical.,Podgorica,2
8427,"Airport staff caused delays, the whole airport shall pay. And I will be the one to collect.",Pristina,2
8428,This airline should be shut down. I will see it happen. And I will revel in your demise.,Reykjavik,2
8429,Every person involved will pay dearly. And I will be the one to deliver the punishment.,Valletta,2
8430,This delay is a personal vendetta. I will make you pay for this insult.,Denver,2
8431,You think this is a game? I'm going to make you play by my rules. And they are not forgiving.,Seattle,2
8432,I'm going to make sure your CEO knows about this. And they will know my wrath.,Austin,2
8433,That flight attendant will be reported for their behavior. And they will learn what true fear is. At my hands.,Phoenix,2
8434,"This delay is costing me money. You will be compensating me. Or else, you will face my fury.",Philadelphia,2
8435,I'm going to make sure your CEO knows about this. And they will understand my power. And they will fear me.,San Diego,2
8436,This is unacceptable. I'm not letting this go. I will escalate this until someone breaks. And I will enjoy it.,Dallas,2
8437,You think you can treat me like this? You'll be hearing from me. Very loudly. And very painfully. And you will not forget it.,San Jose,2
8438,I'm going to make sure everyone knows how terrible this airline is. And they will fear your name. And they will avoid you.,Houston,2
8439,"That staff member needs to be retrained, or replaced. And I will decide their fate. And they will learn what regret means.",Washington D.C.,2
8440,This is a disgrace. I'm going to report you to the authorities. And I will make sure you suffer. And I will make it public.,Boston,2
8441,You've made a mistake. I'm going to make you pay for it. Dearly. And slowly. And you will wish you had never been born.,Atlanta,2
8442,That pilot needs to be fired. I'm going to make sure it happens. And I will enjoy watching them fall. And I will make it my mission.,Miami,2
8443,This is the worst airline I've ever flown with. I'm going to make sure everyone knows it. Repeatedly and loudly. And they will fear you.,Tampa,2
8444,You've lost my trust. I'm going to make sure you lose everyone else's. And I will revel in your downfall. And I will make it my life's work.,Orlando,2
8445,That gate agent needs to be reprimanded. I'm going to make sure it happens. And they will learn what true shame is. And they will carry it with them.,Charlotte,2
